14:29 24/11/2021,STB,28.5,30.45,26.55,30.45,28.35,67021,30.45
14:30 24/11/2021,TCB,52.6,56.2,48.95,55.7,52.3,51141,55.6
14:30 24/11/2021,LPB,23.05,24.65,21.45,24.45,22.9,43755.6,24.45
14:30 24/11/2021,MBB,28.9,30.9,26.9,30.9,28.75,42256.2,30.9
14:30 24/11/2021,VPB,36.25,38.75,33.75,37.6,35.9,34771,37.25
14:30 24/11/2021,HPG,49.55,53,46.1,49.7,48.5,26102.2,48.75
14:30 24/11/2021,SHB,23.8,25.45,22.15,25,23.75,25520,25
14:30 24/11/2021,CTG,34.1,36.45,31.75,35.4,34.05,24795.2,35.35
14:30 24/11/2021,SSI,52,55.6,48.4,54.4,52.7,22841.7,53.3
14:30 24/11/2021,FLC,14.7,15.7,13.7,15.4,14.7,22059.2,14.85
14:30 24/11/2021,MSB,26.45,28.3,24.6,28.2,26.25,17909.4,28.15
14:30 24/11/2021,ITA,11.2,11.95,10.45,11.6,10.9,17783.7,11.05
14:29 24/11/2021,OCB,28,29.95,26.05,29.95,28,17778.3,29.95
14:30 24/11/2021,HAG,7.15,7.65,6.65,7.59,7,17227,7.09
14:30 24/11/2021,GEX,44.15,47.2,41.1,46,43,17096.9,44.4
14:30 24/11/2021,TTF,10.75,11.5,10,11.5,11.15,15011.8,11.5
14:30 24/11/2021,DLG,6.92,7.4,6.44,7.1,6.47,14635.8,6.76
14:30 24/11/2021,ACB,33.95,36.3,31.6,35.45,33.75,13921.5,35.4
14:30 24/11/2021,HQC,6.1,6.52,5.68,6.35,6.11,13913.4,6.14
14:30 24/11/2021,ROS,6.84,7.31,6.37,7.1,6.8,13836.2,6.8
14:30 24/11/2021,POW,13.8,14.75,12.85,14,13.5,13658.7,13.55
14:30 24/11/2021,HDB,31.8,34,29.6,33.95,31.85,11413,33.85
14:30 24/11/2021,DXG,26,27.8,24.2,27,26.2,10329.5,26.7
14:30 24/11/2021,HBC,24.2,25.85,22.55,25.85,25,10047.8,25.65
14:30 24/11/2021,VRE,30.15,32.25,28.05,31.4,30.1,9913.2,31.1
14:30 24/11/2021,HSG,39.1,41.8,36.4,39.15,37.8,9261.5,37.95
14:30 24/11/2021,PAN,40.85,43.7,38,43.5,41,9175.6,41.8
14:30 24/11/2021,LDG,12.55,13.4,11.7,13.15,12,9142.5,12
14:30 24/11/2021,NKG,43.15,46.15,40.15,43.2,41.1,8937.6,41.2
14:30 24/11/2021,VIB,41.9,44.8,39,44.8,41.5,7979,44.8
14:30 24/11/2021,TSC,15.6,16.65,14.55,16.2,15.55,7899.5,15.7
14:30 24/11/2021,SCR,18.05,19.3,16.8,18.7,17.5,7829.8,17.7
14:30 24/11/2021,TCH,23.5,25.1,21.9,24,22.6,7667.9,22.7
14:30 24/11/2021,CII,27.25,29.15,25.35,28,26.5,7384.7,27
14:30 24/11/2021,VIX,33,35.3,30.7,34.7,33,7348,33.1
14:30 24/11/2021,VCI,75.2,80.4,70,79,76.6,7109.2,78
14:30 24/11/2021,SAM,21,22.45,19.55,22,19.7,7085.5,19.8
14:30 24/11/2021,TPB,48.7,52.1,45.3,49.85,47.7,6959.4,49.05
14:30 24/11/2021,AAA,17.1,18.25,15.95,17.35,16.85,6783.4,17
14:30 24/11/2021,VHM,82.5,88.2,76.8,83.5,81.8,6612.2,83.3
14:30 24/11/2021,HCM,46.5,49.75,43.25,48.35,46.9,6367.9,47.25
14:30 24/11/2021,KBC,48,51.3,44.65,49.5,48.5,6367.4,49
14:30 24/11/2021,FIT,13.75,14.7,12.8,14.35,13.9,6278.7,13.95
14:30 24/11/2021,LCG,18.1,19.35,16.85,19.2,18,6024.6,18.85
14:30 24/11/2021,VND,80.7,86.3,75.1,82.7,80.1,5986.5,81.6
14:30 24/11/2021,TTA,19.15,20.45,17.85,19.2,17.85,5821.3,18.4
14:30 24/11/2021,HHS,11,11.75,10.25,11.55,10.9,5739.1,11
14:30 24/11/2021,SBT,25,26.75,23.25,25.5,24.6,5321.7,24.7
14:29 24/11/2021,HAI,6.55,7,6.1,6.69,6.45,4829.7,6.55
